,Country,Year,Rank,Total,S1: Demographic Pressures,S2: Refugees and IDPs,C3: Group Grievance,E3: Human Flight and Brain Drain,E2: Economic Inequality,E1: Economy,P1: State Legitimacy,P2: Public Services,P3: Human Rights,C1: Security Apparatus,C2: Factionalized Elites,X1: External Intervention
101,Bahrain,2023,101st,65.1,4.1,1.4,9.5,3.0,5.7,3.6,8.0,2.9,8.7,5.3,7.6,5.3
102,China,2023,102nd,65.1,6.5,3.1,6.5,3.2,6.1,3.3,8.1,4.7,9.4,4.9,7.2,2.1
103,Turkmenistan,2023,104th,64.5,5.6,2.3,5.3,4.1,5.6,5.1,9.8,4.1,8.0,4.5,7.8,2.3
104,Paraguay,2023,105th,63.7,5.7,2.9,4.7,4.7,6.9,4.9,6.4,5.7,5.1,5.7,7.8,3.2
105,Maldives,2023,106th,62.9,5.2,3.5,3.4,5.2,2.6,5.2,6.9,5.4,6.9,4.9,8.1,5.6
106,Ghana,2023,107th,62.29999999999999,7.4,3.5,3.0,6.8,6.6,5.8,3.2,6.8,3.8,4.0,5.9,5.5
107,Jamaica,2023,108th,61.90000000000001,4.8,2.2,1.6,9.5,5.3,6.9,4.2,7.0,5.2,7.0,3.7,4.5
108,Guyana,2023,109th,61.599999999999994,5.8,3.0,5.9,8.2,3.9,3.5,4.4,6.1,3.4,6.5,4.8,6.1
109,Dominican Republic,2023,110th,60.800000000000004,6.4,2.6,4.6,6.7,4.7,4.6,5.4,6.4,4.1,5.5,6.2,3.6
110,Kazakhstan,2023,111th,60.6,4.1,2.3,7.4,4.6,2.6,5.1,8.4,4.0,7.1,4.0,7.9,3.1
111,Namibia,2023,112th,60.300000000000004,8.1,3.6,4.2,5.9,6.9,6.8,3.1,7.2,2.2,4.2,3.5,4.6
112,Macedonia,2023,113th,60.3,4.2,6.3,5.4,6.4,4.3,6.3,4.5,4.2,2.4,4.1,7.3,4.9
113,Cape Verde,2023,114th,60.1,6.2,3.6,2.4,8.0,5.0,5.9,3.5,5.6,2.3,4.2,5.5,7.9
114,Belize,2023,115th,59.8,5.0,3.0,4.7,5.0,3.6,6.9,3.4,5.4,5.6,6.8,4.3,6.1
115,Suriname,2023,116th,59.699999999999996,5.5,2.8,7.0,5.7,4.7,7.7,4.0,4.7,4.0,3.4,5.8,4.4
116,Cuba,2023,117th,59.49999999999999,5.9,3.2,2.2,5.6,3.8,5.6,7.6,4.5,6.3,3.4,7.0,4.4
117,Vietnam,2023,118th,58.300000000000004,4.4,3.9,4.8,4.7,3.5,3.6,8.0,3.8,7.5,3.5,6.9,3.7
118,Montenegro,2023,119th,57.99999999999999,4.1,3.6,9.3,5.4,2.4,5.8,3.9,3.8,2.9,4.0,6.5,6.3
119,Cyprus,2023,120th,57.0,3.4,5.9,4.5,3.5,4.5,5.6,4.2,3.3,3.0,2.9,7.9,8.3
120,Albania,2023,121st,56.8,4.1,2.8,3.5,8.5,2.9,6.1,5.0,3.8,3.6,4.8,6.2,5.5
121,Botswana,2023,122nd,55.29999999999999,7.8,3.1,3.7,4.5,6.8,6.6,2.5,6.3,5.0,3.4,3.3,2.3
122,Greece,2023,123rd,55.099999999999994,4.1,5.3,4.0,4.0,3.2,6.0,5.8,4.3,3.9,3.3,4.1,7.1
123,Malaysia,2023,124th,55.0,5.1,3.2,4.8,4.1,3.5,3.0,6.5,3.7,7.5,4.8,6.8,2.0
124,Brunei Darussalam,2023,125th,54.699999999999996,2.8,1.1,7.1,3.4,6.9,3.0,7.7,2.0,6.3,3.9,7.4,3.1
125,Antigua and Barbuda,2023,126th,53.8,3.7,2.7,3.6,6.2,5.1,6.6,3.6,3.8,3.8,4.9,3.7,6.1
126,Grenada,2023,127th,53.699999999999996,4.1,2.2,3.6,7.7,4.6,5.9,3.7,4.1,1.5,4.8,5.6,5.9
127,Seychelles,2023,128th,53.3,4.2,2.3,3.9,5.3,5.3,3.8,3.5,2.4,4.6,5.2,6.0,6.8
128,Romania,2023,129th,53.0,4.5,4.0,5.4,5.6,4.0,4.0,4.4,5.0,4.1,1.9,5.7,4.4
129,Trinidad and Tobago,2023,130th,52.89999999999999,4.1,2.5,3.4,6.8,4.7,3.9,3.5,4.3,3.5,7.3,5.6,3.3
130,Bulgaria,2023,131st,51.800000000000004,5.4,4.4,4.0,5.2,4.7,4.4,3.5,3.9,3.2,4.1,5.3,3.7
131,Mongolia,2023,132nd,51.3,4.8,2.3,2.3,4.2,5.2,5.1,4.0,4.8,4.2,2.9,5.5,6.0
132,Kuwait,2023,133rd,51.2,4.4,2.0,4.7,2.5,4.8,2.6,7.2,2.7,7.4,2.4,7.5,3.0
133,Bahamas,2023,134th,49.2,6.3,2.5,2.3,4.4,4.7,4.5,1.8,5.3,4.5,4.3,4.5,4.1
134,Hungary,2023,135th,48.8,3.5,5.4,3.3,3.9,2.6,4.4,6.2,2.8,5.7,1.8,5.3,3.9
135,Panama,2023,137th,48.7,4.9,2.4,6.2,3.6,6.0,3.5,3.7,4.9,4.4,4.6,2.7,1.8
136,Oman,2023,136th,48.7,4.2,1.6,2.9,1.4,4.1,4.4,7.2,3.1,6.7,2.4,6.6,4.1
137,Croatia,2023,138th,48.699999999999996,4.8,6.8,4.3,6.1,2.9,5.7,2.3,2.9,2.0,2.0,4.4,4.5
138,Argentina,2023,139th,46.4,5.7,1.6,3.2,2.9,5.3,6.6,3.4,4.2,2.7,4.3,2.8,3.7
139,Barbados,2023,140th,45.400000000000006,3.7,1.9,2.3,5.1,5.0,6.0,1.2,3.5,2.6,4.4,4.2,5.5
140,United States,2023,141st,45.300000000000004,5.2,2.2,6.5,1.7,4.0,2.1,4.2,2.2,4.2,4.7,7.3,1.0
141,Poland,2023,142nd,45.199999999999996,3.8,5.9,5.0,4.6,2.4,3.6,3.7,3.0,4.4,1.8,4.2,2.8
142,Israel,2023,143rd,44.1,4.8,1.7,7.1,2.4,3.6,1.0,3.3,1.6,2.9,2.6,8.3,4.8
143,Spain,2023,144th,43.49999999999999,3.3,1.9,7.3,1.0,3.5,4.5,6.3,2.9,1.8,2.8,6.9,1.3
144,Latvia,2023,145th,43.3,3.2,3.0,7.7,5.8,3.7,3.9,1.8,3.3,1.9,2.0,4.3,2.7
145,Italy,2023,146th,42.6,4.6,4.3,3.7,2.5,2.9,5.4,2.0,3.9,0.7,4.5,4.9,3.2
146,Chile,2023,147th,42.2,5.9,1.5,3.8,3.3,4.9,4.0,4.4,3.9,3.6,3.6,2.2,1.1
147,United Kingdom,2023,148th,41.9,3.4,2.4,6.1,2.4,3.7,5.0,3.6,2.6,2.7,2.9,5.8,1.3
148,Qatar,2023,149th,40.5,3.0,1.3,2.8,1.1,5.3,1.1,6.4,2.3,5.5,1.0,5.0,5.7
149,Costa Rica,2023,150th,40.4,2.9,4.9,2.4,2.9,5.1,5.5,1.2,4.1,1.2,2.9,3.8,3.5
150,Czech Republic,2023,151st,40.199999999999996,3.2,4.5,4.0,3.5,1.9,4.4,3.9,2.9,1.9,2.0,5.3,2.7
151,Lithuania,2023,152nd,39.39999999999999,3.6,2.9,2.7,5.6,4.1,3.7,1.2,3.7,1.9,2.2,3.0,4.8
152,Estonia,2023,153rd,38.6,2.9,2.6,6.8,4.7,3.0,3.2,1.0,1.9,1.3,1.7,5.8,3.7
153,Mauritius,2023,154th,38.0,3.1,1.6,5.0,4.2,3.1,5.0,2.3,3.1,3.6,1.0,3.1,2.9
154,Slovak Republic,2023,155th,37.800000000000004,2.6,3.3,5.5,4.0,2.2,4.1,3.2,2.6,2.3,1.2,4.7,2.1
155,United Arab Emirates,2023,156th,37.0,3.6,1.4,2.2,2.1,3.1,1.6,6.4,2.1,6.8,2.3,3.6,1.8
156,Uruguay,2023,157th,34.4,3.4,1.8,2.3,3.4,3.3,4.1,0.4,3.2,3.6,3.6,2.7,2.6
157,Malta,2023,158th,33.0,3.7,3.2,2.1,3.7,2.3,3.4,2.9,1.8,3.6,1.8,2.0,2.5
158,South Korea,2023,159th,31.5,2.5,1.1,2.8,3.4,2.8,1.6,2.4,2.4,3.3,1.5,3.9,3.8
159,Belgium,2023,160th,31.4,4.2,2.1,3.5,2.7,2.2,4.6,0.8,2.5,1.0,2.4,4.4,1.0
160,Japan,2023,161st,30.500000000000004,5.9,2.6,1.9,2.7,2.9,3.5,0.3,1.8,2.8,1.5,2.6,2.0
161,France,2023,162nd,28.799999999999997,3.1,2.4,6.4,2.0,2.9,3.4,1.0,1.2,1.1,2.9,1.9,0.5
162,Slovenia,2023,163rd,27.299999999999997,3.6,2.6,3.0,3.6,2.7,3.2,1.4,2.4,1.4,0.3,2.0,1.1
163,Portugal,2023,164th,25.7,4.0,1.4,0.7,3.1,2.4,3.9,0.8,2.7,1.4,0.3,2.5,2.5
164,Singapore,2023,165th,25.499999999999996,2.5,0.5,2.8,1.3,3.4,1.0,3.7,1.0,4.5,0.4,4.0,0.4
165,Germany,2023,166th,24.6,2.3,4.5,3.4,1.9,2.7,1.5,0.7,1.5,0.7,2.3,2.3,0.8
166,Austria,2023,167th,24.399999999999995,3.6,4.5,3.3,1.7,2.5,1.2,0.6,1.7,0.4,1.4,3.2,0.3
167,Australia,2023,168th,22.0,3.8,1.7,2.9,0.4,2.6,1.6,0.4,2.2,2.2,2.1,1.7,0.4
168,Netherlands,2023,169th,20.999999999999996,2.5,2.4,3.0,2.3,1.8,1.6,0.3,1.0,0.5,1.8,3.4,0.4
169,Sweden,2023,170th,20.6,3.0,3.7,2.3,0.6,2.3,1.3,0.5,1.0,1.5,2.1,1.8,0.5
170,Luxembourg,2023,172nd,19.5,2.4,2.8,1.5,1.7,1.8,2.4,0.3,1.3,1.1,0.4,3.4,0.4
171,Ireland,2023,171st,19.5,2.8,1.6,0.5,2.5,1.8,1.7,0.5,1.9,1.6,2.1,1.5,1.0
172,Canada,2023,173rd,18.9,1.2,2.0,2.0,0.7,2.5,1.4,0.4,1.7,1.9,2.2,2.5,0.4
173,Denmark,2023,174th,17.900000000000002,2.3,3.0,3.1,1.0,1.8,1.0,0.3,1.7,0.6,1.1,1.4,0.6
174,Switzerland,2023,175th,17.799999999999997,2.4,3.2,2.1,1.0,2.4,1.6,0.3,1.6,0.4,1.4,1.0,0.4
175,New Zealand,2023,176th,16.7,1.1,1.2,2.0,1.6,2.6,2.6,0.5,1.1,0.5,1.6,1.4,0.5
176,Finland,2023,177th,16.0,1.7,1.9,0.3,1.5,1.6,2.7,0.4,1.0,0.5,2.0,1.4,1.0
177,Iceland,2023,178th,15.700000000000001,1.5,1.5,0.5,1.6,1.5,2.6,0.4,0.9,0.4,0.4,1.8,2.6
178,Norway,2023,179th,14.5,1.4,1.7,3.1,0.7,1.4,1.4,0.4,1.0,0.4,1.4,1.1,0.5
